"LHS","RHS","support","confidence","coverage","lift","count","cosine","Year","Data_Source"
"{aph(6)-Id}","{aph(3'')-Ib}",0.130081300813008,1,0.130081300813008,7.6875,16,1,2018,"Retail_Meats"
"{aph(3'')-Ib}","{aph(6)-Id}",0.130081300813008,1,0.130081300813008,7.6875,16,1,2018,"Retail_Meats"
"{aph(6)-Id,glpT_E448K}","{aph(3'')-Ib}",0.121951219512195,1,0.121951219512195,7.6875,15,0.968245836551854,2018,"Retail_Meats"
"{aph(3'')-Ib,glpT_E448K}","{aph(6)-Id}",0.121951219512195,1,0.121951219512195,7.6875,15,0.968245836551854,2018,"Retail_Meats"
"{aph(6)-Id}","{glpT_E448K}",0.121951219512195,0.9375,0.130081300813008,0.952995867768595,15,0.340909090909091,2018,"Retail_Meats"
"{glpT_E448K}","{aph(6)-Id}",0.121951219512195,0.12396694214876,0.983739837398374,0.952995867768595,15,0.340909090909091,2018,"Retail_Meats"
"{aph(3'')-Ib}","{glpT_E448K}",0.121951219512195,0.9375,0.130081300813008,0.952995867768595,15,0.340909090909091,2018,"Retail_Meats"
"{glpT_E448K}","{aph(3'')-Ib}",0.121951219512195,0.12396694214876,0.983739837398374,0.952995867768595,15,0.340909090909091,2018,"Retail_Meats"
"{aph(3'')-Ib,aph(6)-Id}","{glpT_E448K}",0.121951219512195,0.9375,0.130081300813008,0.952995867768595,15,0.340909090909091,2018,"Retail_Meats"
"{tet(B)}","{glpT_E448K}",0.105691056910569,0.866666666666667,0.121951219512195,0.88099173553719,13,0.305144142428463,2018,"Retail_Meats"
"{glpT_E448K}","{tet(B)}",0.105691056910569,0.107438016528926,0.983739837398374,0.88099173553719,13,0.305144142428463,2018,"Retail_Meats"
"{uhpT_E350Q}","{glpT_E448K}",0.0975609756097561,1,0.0975609756097561,1.01652892561983,12,0.314918328648887,2018,"Retail_Meats"
"{glpT_E448K}","{uhpT_E350Q}",0.0975609756097561,0.0991735537190083,0.983739837398374,1.01652892561983,12,0.314918328648887,2018,"Retail_Meats"
"{aph(6)-Id}","{aph(3'')-Ib}",0.0932944606413994,0.96969696969697,0.0962099125364431,10.078971533517,32,0.96969696969697,2021,"Retail_Meats"
"{aph(3'')-Ib}","{aph(6)-Id}",0.0932944606413994,0.96969696969697,0.0962099125364431,10.078971533517,32,0.96969696969697,2021,"Retail_Meats"
"{aph(3'')-Ib}","{glpT_E448K}",0.0903790087463557,0.939393939393939,0.0962099125364431,0.961827227498869,31,0.294837228664569,2021,"Retail_Meats"
"{glpT_E448K}","{aph(3'')-Ib}",0.0903790087463557,0.0925373134328358,0.97667638483965,0.961827227498869,31,0.294837228664569,2021,"Retail_Meats"
"{tet(A)}","{glpT_E448K}",0.0903790087463557,0.815789473684211,0.110787172011662,0.835271013354281,31,0.274756194145872,2021,"Retail_Meats"
"{glpT_E448K}","{tet(A)}",0.0903790087463557,0.0925373134328358,0.97667638483965,0.835271013354281,31,0.274756194145872,2021,"Retail_Meats"
"{aph(6)-Id}","{aph(3'')-Ib}",0.0898203592814371,1,0.0898203592814371,11.1333333333333,15,1,2020,"Retail_Meats"
"{aph(3'')-Ib}","{aph(6)-Id}",0.0898203592814371,1,0.0898203592814371,11.1333333333333,15,1,2020,"Retail_Meats"
"{aph(6)-Id,glpT_E448K}","{sul2}",0.0894308943089431,0.733333333333333,0.121951219512195,8.2,11,0.856348838577675,2018,"Retail_Meats"
"{aph(3'')-Ib,glpT_E448K}","{sul2}",0.0894308943089431,0.733333333333333,0.121951219512195,8.2,11,0.856348838577675,2018,"Retail_Meats"
"{aph(3'')-Ib,aph(6)-Id,glpT_E448K}","{sul2}",0.0894308943089431,0.733333333333333,0.121951219512195,8.2,11,0.856348838577675,2018,"Retail_Meats"
"{sul2}","{aph(6)-Id}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(6)-Id}","{sul2}",0.0894308943089431,0.6875,0.130081300813008,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{sul2}","{aph(3'')-Ib}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(3'')-Ib}","{sul2}",0.0894308943089431,0.6875,0.130081300813008,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(6)-Id,sul2}","{aph(3'')-Ib}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(3'')-Ib,sul2}","{aph(6)-Id}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(3'')-Ib,aph(6)-Id}","{sul2}",0.0894308943089431,0.6875,0.130081300813008,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{glpT_E448K,sul2}","{aph(6)-Id}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{glpT_E448K,sul2}","{aph(3'')-Ib}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(6)-Id,glpT_E448K,sul2}","{aph(3'')-Ib}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{aph(3'')-Ib,glpT_E448K,sul2}","{aph(6)-Id}",0.0894308943089431,1,0.0894308943089431,7.6875,11,0.82915619758885,2018,"Retail_Meats"
"{tet(A)}","{glpT_E448K}",0.0894308943089431,1,0.0894308943089431,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
"{glpT_E448K}","{tet(A)}",0.0894308943089431,0.0909090909090909,0.983739837398374,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
"{sul2}","{glpT_E448K}",0.0894308943089431,1,0.0894308943089431,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
"{glpT_E448K}","{sul2}",0.0894308943089431,0.0909090909090909,0.983739837398374,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
"{aph(6)-Id,sul2}","{glpT_E448K}",0.0894308943089431,1,0.0894308943089431,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
"{aph(3'')-Ib,sul2}","{glpT_E448K}",0.0894308943089431,1,0.0894308943089431,1.01652892561983,11,0.301511344577764,2018,"Retail_Meats"
